station_id	station_name	station_code	coord_x	coord_y	epsg	munic_code	munic_name	province	cn_network_id	type	category	elev	status	record_start	record_end	station_variables_id
75	Huétor - Santillán, El Molinillo	5099	462073	4128720	25830	18099	Huétor de Santillán	Granada	2	P	E	1300	ACTIVO	01/12/1985 00:00:00	30/06/2002 00:00:00	29/30/31/32/33/34/35/47/48
76	Huétor - Santillán, La Sarguilla	5100	465512	4126856	25830	18099	Huétor de Santillán	Granada	2	P	E	1022	NO ACTIVO	01/09/1956 00:00:00	31/07/1966 00:00:00	29/30/31/32/33/34/35/43/47/48
81	La Peza	5101	474618	4125283	25830	18154	La Peza	Granada	14	P	E	744	ACTIVO	01/12/1985 00:00:00	30/06/2010 00:00:00	29/30/31/32/33/34/35/43/47/48
43	Cortes y Graena, Lopera	5102	478655	4130611	25830	18054	Cortes y Graena	Granada	2	P	E	939	ACTIVO	01/02/1965 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48
42	Cortes y Graena, Graena	5103	480289	4128350	25830	18054	Cortes y Graena	Granada	2	P	E	971	NO ACTIVO	01/01/1989 00:00:00	31/12/1991 00:00:00	29/30/31/32/33/34/35/43/47/48
17	Aldeire, Peña Forestal	5106	492584	4111381	25830	18010	Aldeire	Granada	2	P	E	1450	NO ACTIVO	01/01/1983 00:00:00	31/07/1990 00:00:00	29/30/31/32/33/34/35/43/47/48
49	Dólar, Casa Forestal	5107	499984	4112302	25830	18069	Dólar	Granada	2	P	E	976	NO ACTIVO	01/08/1956 00:00:00	31/12/1976 00:00:00	29/30/31/32/33/34/35/43/47/48
15	Aldeire	5108	493571	4112459	25830	18010	Aldeire	Granada	14	P	E	1277	ACTIVO	01/12/1985 00:00:00	31/05/2004 00:00:00	29/30/31/32/33/34/35/47/48
79	Jeres del Marquesado	5109	485930	4115241	25830	18108	Jerez del Marquesado	Granada	14	P	E	709	ACTIVO	01/12/1985 00:00:00	30/04/2010 00:00:00	29/30/31/32/33/34/35/47/48
41	Cogollos de Guadix	5110	485691	4119710	25830	18049	Cogollos de Guadix	Granada	2	P	E	1135	ACTIVO	01/11/1921 00:00:00	31/05/2002 00:00:00	29/30/31/32/33/34/35/43/47/48
66	Guadix, C. de A.	5112	487921	4128027	25830	18089	Guadix	Granada	2	P	E	940	ACTIVO	01/01/1918 00:00:00	29/02/2004 00:00:00	29/30/31/32/33/34/35/43/47/48
28	Benalua de Guadix	5113	485223	4133887	25830	18027	Benalúa	Granada	2	P	E	865	NO ACTIVO	01/01/1991 00:00:00	31/05/1991 00:00:00	29/30/31/32/33/34/35/47/48
45	Diezma	5115	470572	4130227	25830	18067	Diezma	Granada	14	P	E	1233	ACTIVO	01/12/1985 00:00:00	30/06/2010 00:00:00	29/30/31/32/33/34/35/43/47/48
44	Darro	5116	473906	4133914	25830	18063	Darro	Granada	14	P	E	1120	ACTIVO	01/12/1985 00:00:00	28/02/2009 00:00:00	29/30/31/32/33/34/35/47/48
72	Guejar-Sierra	5501	461014	4112546	25830	18094	Güejar Sierra	Granada	14	TP	E	1166	ACTIVO	01/01/1989 00:00:00	31/03/2004 00:00:00	29/30/31/32/33/34/35/47/48/60/62
101	Pinos-Genil	5502	455466	4112882	25830	18157	Pinos Genil	Granada	14	P	E	1240	ACTIVO	01/12/1985 00:00:00	31/08/2010 00:00:00	29/30/31/32/33/34/35/47/48
112	Quentar, Tocón	5504	467092	4121611	25830	18168	Quéntar	Granada	2	P	E	127	ACTIVO	01/12/1955 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48
27	Beas de Granada, Puertoblanco	5505	460190	4120871	25830	18024	Beas de Granada	Granada	2	P	E	1320	NO ACTIVO	01/03/1955 00:00:00	31/12/1974 00:00:00	29/30/31/32/33/34/35/43/47/48
100	Pantano de Quentar	5506	461037	4117631	25830	18168	Quéntar	Granada	14	TP	E	740	ACTIVO	01/12/1985 00:00:00	31/12/2007 00:00:00	29/30/31/32/33/34/35/47/48/60/62
102	Pinos-Genil, Acequia Gorda	5507	453493	4112892	25830	18157	Pinos Genil	Granada	2	P	E	1530	NO ACTIVO	01/12/1985 00:00:00	31/05/1991 00:00:00	29/30/31/32/33/34/35/47/48
77	Huétor-Santillán	5509	454021	4119207	25830	18099	Huétor de Santillán	Granada	14	P	E	1038	ACTIVO	01/12/1985 00:00:00	31/07/2010 00:00:00	29/30/31/32/33/34/35/47/48
61	Granada, C. de A.	5510	446721	4114627	25830	18087	Granada	Granada	14	P	E	720	ACTIVO	01/12/1985 00:00:00	31/05/2010 00:00:00	29/30/31/32/33/34/35/43/47/48
208	Monachil, Albergue	5511	465794	4105129	25830	18134	Monachil	Granada	3	A	E	2507	ACTIVO	01/01/2011 00:00:00	31/01/2020 00:00:00	81/82/11/28/49/64/70/79
90	Monachil, Cortijo Mimbres	5512	458152	4107475	25830	18134	Monachil	Granada	2	P	E	595	NO ACTIVO	01/01/1989 00:00:00	31/07/1998 00:00:00	29/30/31/32/33/34/35/47/48
89	Monachil	5513	451871	4109665	25830	18134	Monachil	Granada	2	P	E	1280	NO ACTIVO	01/06/1925 00:00:00	31/03/1994 00:00:00	29/30/31/32/33/34/35/43/47/48
127	Granada, Base Area	5514	443825	4110118	25830	18014	Alhendín	Granada	4	CTPESR	E	674	ACTIVO	01/01/1951 05:00:00	30/11/2009 23:00:00	29/60/62/13/30/31/32/33/34/35/36/37/38/39/40/41/42/44/45/46/47/48/49/53/56/57/58/59/61/63/64/70/79/43/54/24/25/26/27/28/2/7/9/11/12/14/15/16/17/18/19/20/21/22/23/67/68/69/1/52/55
62	Granada, Cartuja	5515	446485	4116324	25830	18087	Granada	Granada	2	CTP	E	640	NO ACTIVO	01/02/1951 05:00:00	30/11/2004 06:00:00	29/30/31/32/33/34/35/43/47/48/60/62/36/37/40/44/49/11/12/13/14/56/61/63/64
108	Presa de Dílar	5516	455785	4103172	25830	18068	Dílar	Granada	2	P	E	1180	NO ACTIVO	01/11/1992 00:00:00	31/05/1997 00:00:00	29/30/31/32/33/34/35/47/48
47	Dílar, Central Eléctrica	5517	447503	4102740	25830	18068	Dílar	Granada	2	P	E	1550	ACTIVO	01/06/1946 00:00:00	31/01/2020 00:00:00	29/30/31/32/33/34/35/43/47/48
48	Dílar, El Toril	5518	449848	4101872	25830	18068	Dílar	Granada	2	P	E	916	ACTIVO	01/04/1957 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48
46	Dílar	5519	446402	4103227	25830	18068	Dílar	Granada	2	P	E	878	NO ACTIVO	01/12/1985 00:00:00	31/03/1989 00:00:00	29/30/31/32/33/34/35/47/48
21	Alhendín, I.N.M.	5520	442787	4106644	25830	18014	Alhendín	Granada	2	P	E	739	ACTIVO	01/02/1966 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48
10	Albolote	5522	441698	4119283	25830	18003	Albolote	Granada	14	P	E	654	ACTIVO	01/12/1985 00:00:00	31/07/2010 00:00:00	29/30/31/32/33/34/35/47/48
80	La Mala	5526	435808	4106382	25830	18126	La Malahá	Granada	2	P	E	1085	NO ACTIVO	01/01/1962 00:00:00	30/04/1977 00:00:00	29/30/31/32/33/34/35/43/47/48
40	Chimeneas, Santa Catalina	5528	432006	4109494	25830	18061	Chimeneas	Granada	14	P	E	760	ACTIVO	01/06/1992 00:00:00	31/05/2010 00:00:00	29/30/31/32/33/34/35/47/48
114	Santa Fé	5529	436128	4116088	25830	18175	Santa Fe	Granada	2	P	E	579	ACTIVO	01/12/1985 00:00:00	31/08/2003 00:00:00	29/30/31/32/33/34/35/47/48
204	Nívar	5539	448502	4123553	25830	18144	Nívar	Granada	2	P	E	1055	NO ACTIVO	01/08/2010 00:00:00	31/08/2010 00:00:00	29/30/31/32/33/34/35/47/48
31	Bérchules	6224	482925	4092135	25830	18030	Bérchules	Granada	13	P	E	800	ACTIVO	01/01/1961 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48
34	Cadiar	6225	483660	4088590	25830	18035	Cádiar	Granada	13	TP	E	1071	ACTIVO	01/01/1961 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48/60/62
117	Torvizcón	6226	473248	4081221	25830	18179	Torvizcón	Granada	13	P	E	684	ACTIVO	01/01/1961 00:00:00	30/04/2012 00:00:00	29/30/31/32/33/34/35/47/48
118	Trévelez	6234	476134	4095079	25830	18180	Trevélez	Granada	13	P	E	1476	ACTIVO	01/01/1965 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48
105	Portugos	6236	472261	4088363	25830	18163	Pórtugos	Granada	2	P	E	39	ACTIVO	01/01/1961 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48
103	Pitres	6243	471042	4087699	25830	18901	La Taha	Granada	2	P	E	1279	NO ACTIVO	01/11/1966 00:00:00	31/05/1996 00:00:00	29/30/31/32/33/34/35/47/48
96	Órjiva, Sierra de Lújar	6245	464062	4075091	25830	18147	Órgiva	Granada	2	P	E	748		01/11/1965 00:00:00	30/11/1977 00:00:00	29/30/31/32/33/34/35/47/48
115	Soportújar, Casa Forestal	6246	463740	4088076	25830	18176	Soportújar	Granada	2	TP	E	1244	ACTIVO	01/01/1946 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48/60/62
95	Órgiva	6247	462551	4083995	25830	18147	Órgiva	Granada	2	TPE	E	744		01/01/1961 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62/2
37	Cañar, Los Jarales	6248	461885	4086810	25830	18040	Cáñar	Granada	2	P	E	800	NO ACTIVO	01/01/1945 00:00:00	31/12/1988 00:00:00	29/30/31/32/33/34/35/47/48
97	Padul	6249	444395	4097429	25830	18150	Padul	Granada	2	TPE	E	1000	ACTIVO	01/01/1961 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62/2
98	Padul, Aguadero	6250	446701	4097120	25830	18150	Padul	Granada	2	P	E	975	ACTIVO	01/05/1950 00:00:00	29/02/2020 00:00:00	29/30/31/32/33/34/35/43/47/48
53	Dúrcal, Presa	6251	457617	4099157	25830	18071	Dúrcal	Granada	2	P	E	1800	NO ACTIVO	01/06/1946 00:00:00	31/12/1992 00:00:00	29/30/31/32/33/34/35/43/47/48
51	Dúrcal, Central	6252	450384	4095806	25830	18071	Dúrcal	Granada	2	TP	E	890	NO ACTIVO	01/06/1946 00:00:00	31/01/1997 00:00:00	29/30/31/32/33/34/35/47/48/60/62
