station_id	station_name	station_code	coord_x	coord_y	epsg	munic_code	munic_name	province	cn_network_id	type	category	elev	status	record_start	record_end	station_variables_id
93	Niguelas	6253	452024	4093024	25830	18143	Nigüelas	Granada	2	P	E	723	ACTIVO	01/02/1934 00:00:00	30/11/2016 00:00:00	29/30/31/32/33/34/35/43/47/48
83	Lanjarón, Tello	6257	457948	4091143	25830	18116	Lanjarón	Granada	2	P	E	921	NO ACTIVO	01/01/1965 00:00:00	31/01/1997 00:00:00	29/30/31/32/33/34/35/47/48
128	Lanjarn	6258	456125	4086443	25830	18116	Lanjarón	Granada	4	CTPE	E	706	ACTIVO	01/01/1951 06:00:00	30/11/2009 06:00:00	60/15/29/30/31/32/33/34/35/43/47/48/62/3/4/5/2
70	Guájar, Faraguit	6261	447724	4077179	25830	18906	Los Guájares	Granada	2	P	E	281	NO ACTIVO	01/01/1961 00:00:00	30/09/1986 00:00:00	29/30/31/32/33/34/35/47/48
71	Guájar, Fondón	6262	448215	4076559	25830	18906	Los Guájares	Granada	13	P	E	262	ACTIVO	01/01/1965 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48
109	Presa de Vélez de Benaudalla	6263	448958	4076462	25830	18906	Los Guájares	Granada	2	P	E	872	NO ACTIVO	01/04/1946 00:00:00	31/01/1987 00:00:00	29/30/31/32/33/34/35/47/48
122	Vélez de Benaudalla, Central	6264	454166	4077604	25830	18184	Vélez de Benaudalla	Granada	2	P	E	958	NO ACTIVO	01/06/1946 00:00:00	31/03/1995 00:00:00	29/30/31/32/33/34/35/47/48
12	Albuñol a Órjiva, C.P.C.	6273	472482	4074135	25830	18162	Polopos	Granada	2	P	E	1240	ACTIVO	01/01/1961 00:00:00	31/12/2004 00:00:00	29/30/31/32/33/34/35/47/48
14	Alcolea	6278	503941	4091040	25830	4007	Alcolea	Almería	2	P	E	739	NO ACTIVO	01/11/1950 00:00:00	31/07/1975 00:00:00	29/30/31/32/33/34/35/47/48
25	Bayarcal	6279	500231	4097973	25830	4020	Bayárcal	Almería	13	P	E	1260	ACTIVO	01/08/1964 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/43/47/48
120	Ugíjar	6281	495039	4090887	25830	18182	Ugíjar	Granada	13	TP	E	559	ACTIVO	01/01/1961 00:00:00	30/09/2012 00:00:00	29/30/31/32/33/34/35/47/48/60/62
88	Mecina Bombaron	6282	486016	4092592	25830	18904	Alpujarra de la Sierra	Granada	13	P	E	810	ACTIVO	01/01/1961 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/43/47/48
30	Beninar	6283	497509	4081795	25830	4029	Berja	Almería	2	P	E	313	NO ACTIVO	01/01/1961 00:00:00	30/09/1985 00:00:00	29/30/31/32/33/34/35/47/48
119	Turón	6284	494785	4079640	25830	18181	Turón	Granada	13	P	E	684	ACTIVO	01/01/1934 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48
32	Berja, Castala	6286	508402	4079950	25830	4029	Berja	Almería	13	TP	E	1319	ACTIVO	01/01/1950 00:00:00	28/02/2010 00:00:00	29/30/31/32/33/34/35/47/48/60/62
55	Félix	6295	530437	4080309	25830	4043	Felix	Almería	13	TP	E	812	ACTIVO	01/02/1948 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48/60/62
56	Fiñana	6300	513917	4113855	25830	4045	Fiñana	Almería	13	P	E	460	ACTIVO	01/01/1965 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/43/47/48
168	Abrucena, Los Jarales	6301	518967	4116330	25830	4002	Abrucena	Almería	13	P	E	1100	ACTIVO	01/01/1962 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/43/47/48
7	Abrucena	6302	518119	4109548	25830	4002	Abrucena	Almería	2	P	E	975	NO ACTIVO	01/09/1954 00:00:00	31/01/1987 00:00:00	29/30/31/32/33/34/35/47/48
92	Nacimiento, Gilma Moderno	6303	528587	4114816	25830	4065	Nacimiento	Almería	13	P	E	942	ACTIVO	01/01/1961 00:00:00	30/11/2010 00:00:00	29/30/31/32/33/34/35/47/48
50	Doña María de Oca a Santillana	6304	524177	4104941	25830	4901	Las Tres Villas	Almería	2	P	E	1080	NO ACTIVO	01/01/1961 00:00:00	31/05/1988 00:00:00	29/30/31/32/33/34/35/47/48
91	Nacimiento	6305	530959	4106812	25830	4065	Nacimiento	Almería	13	P	E	1190	ACTIVO	01/02/1961 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48
9	Alboloduy	6306	533584	4098502	25830	4005	Alboloduy	Almería	2	P	E	460	ACTIVO	01/01/1965 00:00:00	28/02/2009 00:00:00	29/30/31/32/33/34/35/47/48
85	Láujar, Cerecillo	6307	507641	4099979	25830	4057	Láujar de Andarax	Almería	2	TP	E	1240	ACTIVO	01/01/1950 00:00:00	31/03/2009 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
86	Láujar, Monterrey	6308	509198	4097606	25830	4057	Láujar de Andarax	Almería	2	TP	E	1080	ACTIVO	01/01/1950 00:00:00	29/02/2020 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
84	Láujar	6309	509871	4094127	25830	4057	Láujar de Andarax	Almería	13	TP	E	1800	ACTIVO	01/12/1947 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48/60/62
94	Ohanes, Central Eléctrica	6310	522465	4098773	25830	4067	Ohanes	Almería	13	P	E	1000	ACTIVO	01/01/1965 00:00:00	31/12/2010 00:00:00	29/30/31/32/33/34/35/47/48
35	Canjayar	6311	522968	4095693	25830	4030	Canjáyar	Almería	2	TP	E	916	NO ACTIVO	01/11/1947 00:00:00	31/12/1990 00:00:00	29/30/31/32/33/34/35/47/48/60/62
36	Canjayar, Vivero Cristal	6312	518769	4094758	25830	4014	Almócita	Almería	2	P	E	610	ACTIVO	01/01/1950 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/43/47/48
19	Alhama de Almería, La Zarba	6313	532349	4085555	25830	4041	Enix	Almería	2	P	E	1219	ACTIVO	01/01/1961 00:00:00	30/11/2012 00:00:00	29/30/31/32/33/34/35/47/48
18	Alhama de Almería	6314	538316	4090048	25830	4011	Alhama de Almería	Almería	2	TP	E	520	NO ACTIVO	01/01/1961 00:00:00	30/06/2000 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
59	Gergal	6315	540949	4108088	25830	4050	Gérgal	Almería	13	P	E	730	ACTIVO	01/01/1961 00:00:00	31/05/2012 00:00:00	29/30/31/32/33/34/35/47/48
60	Gergal a Nacimiento, C.P.C.	6316	535534	4104735	25830	4005	Alboloduy	Almería	2	TP	E	690	NO ACTIVO	01/01/1964 00:00:00	31/03/1988 00:00:00	29/30/31/32/33/34/35/47/48/60/62
57	Fuente Santa	6317	542101	4099773	25830	4081	Santa Fe de Mondújar	Almería	2	P	E	900	NO ACTIVO	01/01/1961 00:00:00	30/04/1991 00:00:00	29/30/31/32/33/34/35/47/48
58	Gatuna	6318	535113	4087106	25830	4011	Alhama de Almería	Almería	2	P	E	758	NO ACTIVO	01/01/1961 00:00:00	28/02/1995 00:00:00	29/30/31/32/33/34/35/47/48
113	Rioja	6324	547969	4088710	25830	4078	Rioja	Almería	13	P	E	1842	ACTIVO	01/01/1961 00:00:00	31/12/2012 00:00:00	29/30/31/32/33/34/35/47/48
26	Baza, El Tesorero	5043E	524477	4124239	25830	18023	Baza	Granada	2	P	E	1540	NO ACTIVO	01/04/1984 00:00:00	31/10/1998 00:00:00	29/30/31/32/33/34/35/43/47/48
205	Dólar	5107D	501217	4114845	25830	18069	Dólar	Granada	3	A	E	1197	ACTIVO	29/03/2017 00:00:00	31/01/2020 00:00:00	7/8/9/10/11/13/29/30/31/32/33/34/35/38/39/40/41/42/44/45/46/47/48/49/64
16	Aldeire, I.N.M.	5108A	493603	4112828	25830	18010	Aldeire	Granada	2	TP	E	1271	ACTIVO	01/08/1990 00:00:00	30/06/2016 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
22	Alquife, Ms. del Marquesado	5109E	490369	4116160	25830	18018	Alquife	Granada	2	TP	E	1150	NO ACTIVO	01/02/1976 00:00:00	31/03/1989 00:00:00	60/62/29/30/31/32/33/34/35/47/48
68	Guadix, El Castañuelo	5111O	489378	4126238	25830	18089	Guadix	Granada	2	TP	E	910	NO ACTIVO	01/06/1985 00:00:00	31/12/1985 00:00:00	60/62
69	Guadix, Instituto Técnico	5112A	487628	4128597	25830	18089	Guadix	Granada	2	TP	E	1084	ACTIVO	01/01/1930 00:00:00	29/02/2020 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
67	Guadix, Can-Ibice	5112B	488225	4127654	25830	18089	Guadix	Granada	2	TP	E	940	ACTIVO	01/10/1985 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/47/48/60/62
29	Benalua de Guadix Zayete	5113A	484549	4133980	25830	18027	Benalúa	Granada	2	TP	E	842	ACTIVO	01/10/1986 00:00:00	31/12/2010 00:00:00	29/30/31/32/33/34/35/47/48/60/62
121	Valle del Zalabi, Charches	5113O	503737	4127516	25830	18907	Valle del Zalabí	Granada	2	P	E	1420	ACTIVO	01/01/1980 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48
107	Presa de Canales	5501O	457444	4112348	25830	18094	Güejar Sierra	Granada	2	TP	E	235	NO ACTIVO	01/01/1992 00:00:00	31/12/2003 00:00:00	29/30/31/32/33/34/35/47/48/60/62
110	Quentar, Aguas Blancas	5504A	464010	4121007	25830	18168	Quéntar	Granada	2	P	E	1215	NO ACTIVO	01/01/1966 00:00:00	31/12/1982 00:00:00	29/30/31/32/33/34/35/47/48
111	Quentar, ICONA	5506F	458565	4116102	25830	18168	Quéntar	Granada	2	P	E	462	NO ACTIVO	01/05/1970 00:00:00	28/02/1987 00:00:00	29/30/31/32/33/34/35/43/47/48
78	Huétor-Santillán, Villa María	5509A	454182	4118997	25830	18099	Huétor de Santillán	Granada	2	TP	E	1223	ACTIVO	01/11/1993 00:00:00	31/07/2015 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
129	Granada, Zaidn	5510A	446721	4114627	25830	18087	Granada	Granada	4	CTP	E	670	NO ACTIVO	01/06/1961 05:00:00	31/12/1985 06:00:00	60/62/40/44/49/29/30/31/32/33/34/35/47/48/11/12/13/14/56/61/63/64
64	Granada, Generalife	5510B	448331	4114435	25830	18087	Granada	Granada	2	TP	E	650	ACTIVO	01/05/1993 00:00:00	31/07/2010 00:00:00	29/30/31/32/33/34/35/47/48/60/62/43
65	Granada, La Rana	5510I	444349	4113872	25830	18087	Granada	Granada	2	TP	E	915	NO ACTIVO	01/05/1970 00:00:00	31/12/1977 00:00:00	60/62/29/30/31/32/33/34/35/43/47/48
63	Granada, Escuela de Capacitación	5510J	443327	4113670	25830	18087	Granada	Granada	2	TP	E	810	NO ACTIVO	01/04/1984 00:00:00	31/12/1988 00:00:00	60/62/29/30/31/32/33/34/35/43/47/48
130	Granada, Sierra Nevada	5511E	465425	4105439	25830	18134	Monachil	Granada	4	CTP	E	2507	NO ACTIVO	01/01/1965 06:00:00	28/02/1993 06:00:00	29/30/31/32/33/34/35/47/48/60/62/40/49/11/12/13/14/56/61/63/64
82	La Zubia	5514A	447512	4107975	25830	18193	La Zubia	Granada	2	P	E	1500	ACTIVO	01/11/1992 00:00:00	31/01/2020 00:00:00	29/30/31/32/33/34/35/43/47/48
202	Granada, Universidad	5515A	446224	4116788	25830	18087	Granada	Granada	2	P	E	689	NO ACTIVO	01/01/1902 00:00:00	31/12/1939 00:00:00	29/30/31/32/33/34/35/47/48
212	Víznar	5515D	452516	4121188	25830	18189	Víznar	Granada	3	A	E	1230	ACTIVO	01/01/2011 00:00:00	07/04/2020 00:00:00	7/8/9/10/11/29/30/31/32/33/34/35/40/44/45/46/47/48/49/64/70/12/13/14/24/25/26/27/28/36/37/38/39/41/42/79
206	Granada, Cartuja, Automática Thies	5515X	447187	4116196	25830	18087	Granada	Granada	3	A	E	780	ACTIVO	01/12/2009 00:00:00	07/04/2020 00:00:00	29/30/31/32/33/34/35/36/37/38/39/40/41/42/44/45/46/47/48/49/81/82/7/8/9/10/11/13/64/67/68/69/70/79
209	Sierra Nevada	5516D	465398	4101987	25830	18068	Dílar	Granada	3	A	E	2856	ACTIVO	11/12/2013 00:00:00	21/05/2018 00:00:00	11/49/50/64/70/79/81/82
20	Alhendín, C. de Aguas	5520A	442837	4106863	25830	18014	Alhendín	Granada	2	P	E	730	NO ACTIVO	01/01/1989 00:00:00	30/04/2007 00:00:00	29/30/31/32/33/34/35/43/47/48
24	Atarfe, SEA	5524A	438866	4119612	25830	18022	Atarfe	Granada	2	TP	E	610	NO ACTIVO	01/02/1971 00:00:00	31/01/1995 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
8	Agrón-Fatimbullar	5557O	429657	4095067	25830	18001	Agrón	Granada	2	P	E	1220	NO ACTIVO	01/01/1987 00:00:00	31/12/1994 00:00:00	29/30/31/32/33/34/35/47/48
33	Busquistar, Cortijo La Calahorra	6234E	474892	4093079	25830	18033	Busquístar	Granada	2	P	E	1400	NO ACTIVO	01/01/1971 00:00:00	31/03/1988 00:00:00	29/30/31/32/33/34/35/43/47/48
104	Poqueira, Central Eléctrica	6242U	467591	4090947	25830	18042	Capileira	Granada	2	P	E	1050	NO ACTIVO	01/06/1972 00:00:00	31/12/1998 00:00:00	29/30/31/32/33/34/35/47/48
38	Capileira	6243A	467819	4090484	25830	18042	Capileira	Granada	2	P	E	1335	NO ACTIVO	01/11/1953 00:00:00	31/12/1990 00:00:00	29/30/31/32/33/34/35/43/47/48
99	Pampaneira, Central	6243E	467583	4088790	25830	18151	Pampaneira	Granada	2	P	E	774	NO ACTIVO	01/09/1972 00:00:00	31/12/1998 00:00:00	29/30/31/32/33/34/35/47/48
52	Dúrcal, Granja Escuela	6251E	448696	4094584	25830	18071	Dúrcal	Granada	2	TP	E	680	NO ACTIVO	01/01/1985 00:00:00	31/03/1988 00:00:00	60/62/29/30/31/32/33/34/35/47/48
13	Albuñuelas	6254E	443577	4086912	25830	18007	Albuñuelas	Granada	2	P	E	730	NO ACTIVO	01/02/1961 00:00:00	30/11/1986 00:00:00	29/30/31/32/33/34/35/47/48
23	Arquilla	6257I	457121	4089083	25830	18116	Lanjarón	Granada	2	TP	E	1652	ACTIVO	01/01/1989 00:00:00	31/12/2017 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
106	Posturas	6257O	455531	4087581	25830	18116	Lanjarón	Granada	2	TP	E	1410	ACTIVO	01/01/1989 00:00:00	29/02/2020 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
207	Lanjarón, Automática Thies	6258X	456126	4086444	25830	18116	Lanjarón	Granada	3	A	E	706	ACTIVO	10/03/2009 00:00:00	07/04/2020 00:00:00	7/8/9/10/11/13/29/30/31/32/33/34/35/38/39/40/41/42/44/45/46/47/48/49/64
203	Guájar Alto	6261D	444268	4078758	25830	18906	Los Guájares	Granada	2	P	E	473	ACTIVO	01/05/2013 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/47/48
116	Sorvilán	6274B	476316	4072207	25830	18177	Sorvilán	Granada	2	P	E	818	ACTIVO	01/06/1987 00:00:00	31/01/2020 00:00:00	29/30/31/32/33/34/35/47/48
11	Albondón	6274U	481035	4075991	25830	18004	Albondón	Granada	2	TP	E	976	ACTIVO	01/07/1986 00:00:00	31/10/2019 00:00:00	60/62/29/30/31/32/33/34/35/43/47/48
87	Mairena	6280U	495783	4095201	25830	18903	Nevada	Granada	2	TP	E	1200	NO ACTIVO	01/01/1985 00:00:00	31/05/1992 00:00:00	29/30/31/32/33/34/35/43/47/48/60/62
123	Velor - Nechite	6281E	493608	4095098	25830	18183	Válor	Granada	2	TP	E	130	ACTIVO	01/08/1990 00:00:00	31/01/2013 00:00:00	60/62/29/30/31/32/33/34/35/47/48
210	Valor, Automática Thies	6281X	493521	4094955	25830	18183	Válor	Granada	3	A	E	950	ACTIVO	24/06/2009 00:00:00	07/04/2020 00:00:00	7/8/9/10/11/13/29/30/31/32/33/34/35/38/39/40/41/42/44/45/46/47/48/49/64
54	Énix	6295E	535385	4081253	25830	4041	Enix	Almería	2	P	E	950	NO ACTIVO	01/01/1968 00:00:00	30/11/1992 00:00:00	29/30/31/32/33/34/35/47/48
39	Charches	6298I	508776	4112960	25830	4045	Fiñana	Almería	2	P	E	1773	ACTIVO	01/01/1988 00:00:00	31/12/2019 00:00:00	29/30/31/32/33/34/35/43/47/48
73	Hueneja, CHS	6299A	504423	4114461	25830	18097	Huéneja	Granada	2	P	E	1278	NO ACTIVO	01/05/1981 00:00:00	31/03/1986 00:00:00	29/30/31/32/33/34/35/43/47/48
74	Hueneja, La Ramblosa	6299E	503930	4112303	25830	18097	Huéneja	Granada	2	P	E	1200	NO ACTIVO	01/01/1961 00:00:00	30/04/1990 00:00:00	29/30/31/32/33/34/35/43/47/48
6	Abla, Venta Victoria	6301U	517004	4111703	25830	4002	Abrucena	Almería	2	P	E	830	ACTIVO	01/04/1987 00:00:00	31/05/2002 00:00:00	29/30/31/32/33/34/35/47/48
