variable_code	variable_id	variable_name	variable_units	variable_type
SD10	56	Temperatura mínima diaria a 0.15 m sobre el suelo	ºC	Temperatura
SI1	57	Temperatura del suelo a 0.05 m bajo el suelo	ºC	Temperatura
SI2	58	Temperatura del suelo a 0.10 m bajo el suelo	ºC	Temperatura
SI4	59	Temperatura del suelo a 0.20 m bajo el suelo	ºC	Temperatura
TD2	60	Temperatura mínima diaria	ºC	Temperatura
TD3	61	Hora de la temperatura mínima diaria	Mi	Temperatura
TD4	62	Temperatura máxima diaria	ºC	Temperatura
TD5	63	Hora de la temperatura máxima diaria	Mi	Temperatura
TI1	64	Temperatura media del termómetro seco	ºC	Temperatura
TI2	65	Temperatura mínima del termómetro seco	ºC	Temperatura
TI3	66	Temperatura máxima del termómetro seco	ºC	Temperatura
VD76	67	Dirección de la racha máxima de viento	º	Viento
VD77	68	Racha máxima de viento	km/h	Viento
VD78	69	Hora de la racha máxima de viento	Mi	Viento
VI1	70	Dirección del viento	º	Viento
VI10	71	Tiempo de dirección de viento en el 1er octante	Mi	Viento
VI11	72	Tiempo de dirección de viento en el 2º octante	Mi	Viento
VI12	73	Tiempo de dirección de viento en el 3er octante	Mi	Viento
VI13	74	Tiempo de dirección de viento en el 4º octante	Mi	Viento
VI14	75	Tiempo de dirección de viento en el 5º octante	Mi	Viento
VI15	76	Tiempo de dirección de viento en el 6º octante	Mi	Viento
VI16	77	Tiempo de dirección de viento en el 7º octante	Mi	Viento
VI17	78	Tiempo de dirección de viento en el 8º octante	Mi	Viento
VI2	79	Velocidad del viento	km/h	Viento
VI3	80	Recorrido del viento en el período	km	Viento
VI4	81	Dirección de la racha máxima	º	Viento
VI5	82	Racha máxima del viento	km/h	Viento
VI6	83	Tiempo de dirección de viento en el 1er cuadrante	Mi	Viento
VI7	84	Tiempo de dirección de viento en el 2º cuadrante	Mi	Viento
VI8	85	Tiempo de dirección de viento en el 3er cuadrante	Mi	Viento
VI9	86	Tiempo de dirección de viento en el 4º cuadrante	Mi	Viento
